"","E_W","type","Name","Delta_Kelp.Pre-MPA","Delta_Kelp.Post-MPA","Change_in_Delta","Protection_Slope_Pre","Protection_Slope_Post","Distance_Slope_Pre","Distance_Slope_Post"
"1",1,"SMR","Richardson Rock",NA,NA,NA,-97.0612641493909,-3146.67721866818,0.00290726474909261,0.0866284532995044
"2",2,"SMR","Judith Rock",227.786695557993,-195.565322771567,423.35201832956,-76.0646444910618,-145.832811315063,-0.125740957355547,0.0537991419915003
"3",3,"SMR","Harris Point",-336.001961769927,-391.293316165317,55.2913543953895,-463.696655091775,-466.549562470185,-0.027840719040451,-0.0217964927754029
"4",5,"SMR","Carrington Point",12.3259665495486,-61.7644071371085,74.090373686657,37.4648345953667,-77.3987664723561,0.0113509306757039,0.015452017197745
"5",6,"SMR","Skunk Point",115.74002328695,182.77852869118,-67.03850540423,176.678824137043,311.56473288338,-0.010644298439118,0.0173936032493156
"6",4,"SMR","South Point",271.324326532921,41.5619452316139,229.762381301307,539.444756137788,169.524341401116,-0.0010196985882806,0.0192414410696947
"7",8,"SMR","Gull Island",-138.961834226646,99.9373305031475,-238.899164729794,-279.310110885771,260.050106684695,-0.0582623075268872,-0.0332750090083784
"8",7,"SMCA2","Painted Cave",NA,NA,NA,0,91.9911647404873,-0.0496313462934834,-0.0573684960214376
"9",9,"SMR","Scorpion",-6.39534187267474,-17.2375472983374,10.8422054256627,3.8693736236278,432.216224570903,-0.00780435863215121,0.00822724329263673
"10",10,"SMCA1","Anacapa Island",-82.9842794522726,-137.080719051787,54.0964395995147,13.5591971475045,-79.5520728940367,0.0155196062405256,0.0718674072880762
"11",11,"SMR","Anacapa Island",-69.0478579745874,20.5197057593634,-89.5675637339508,-147.754466736833,114.767979193969,0.00631970557526877,0.00759705491983149
"12",12,"SMR","Santa Barbara Island",-55.7255384908497,13.841783536443,-69.5673220272927,-438.545998748195,-167.693849087509,-0.0521081098165717,-0.104884289127792
